Name;Seconds;AlbumId
Have It All;298;81
Times Like These;266;81
Disenchanted Lullaby;274;81
Tired Of You;311;81
Halo;306;81
Lonely As You;277;81
Overdrive;271;81
Burn Away;298;81
Come Back;470;81
Doll;83;82
Monkey Wrench;232;82
Hey, Johnny Park!;249;82
My Poor Brain;213;82
Wind Up;152;82
Up In Arms;136;82
My Hero;260;82
See You;147;82
Enough Space;157;82
February Stars;289;82
Everlong;251;82
Walking After You;304;82
New Way Home;342;82
My Way;276;83
Strangers In The Night;156;83
New York, New York;206;83
I Get A Kick Out Of You;194;83
Something Stupid;159;83
Moon River;199;83
What Now My Love;150;83
Summer Love;175;83
For Once In My Life;171;83
Love And Marriage;90;83
They Can't Take That Away From Me;161;83
My Kind Of Town;188;83
Fly Me To The Moon;149;83
I've Got You Under My Skin;211;83
The Best Is Yet To Come;174;83
It Was A Very Good Year;267;83
Come Fly With Me;190;83
That's Life;187;83
The Girl From Ipanema;194;83
The Lady Is A Tramp;184;83
Bad, Bad Leroy Brown;170;83
Mack The Knife;292;83
Loves Been Good To Me;204;83
L.A. Is My Lady;193;83
Entrando Na Sua (Intro);179;84
Nervosa;230;84
Funk De Bamba (Com Fernanda Abreu);237;84
Call Me At Cleo´s;237;84
Olhos Coloridos (Com Sandra De Sá);321;84
Zambação;301;84
Funk Hum;244;84
